date,event,category,significance,description,source_url
2024-01-25,Davos 2024 AI discussions,industry,Medium,"AI dominates World Economic Forum; leaders debate regulation vs innovation",https://www.weforum.org/
2024-02,Google Gemini image generation paused,safety,High,"Google paused Gemini's image generation of people after producing ahistorical diverse depictions of Nazi soldiers and US Founding Fathers",https://medium.com/@georgmarts/13-ai-disasters-of-2024-fa2d479df0ae
2024-03-04,Claude 3 family released,model_release,High,"Anthropic releases Claude 3 Opus/Sonnet/Haiku with vision capabilities and 200K context across three performance tiers",https://en.wikipedia.org/wiki/Claude_(language_model)
2024-03-12,Devin AI announced,benchmark,High,"Cognition Labs announces Devin the 'first AI software engineer' achieving 13.86% on SWE-bench",https://cognition.ai/blog/swe-bench-technical-report
2024-04-09,GPT-4 Turbo general availability,model_release,Medium,"OpenAI releases GPT-4 Turbo with 128K context and knowledge updated to Dec 2023",https://en.wikipedia.org/wiki/GPT-4
2024-05-13,GPT-4o released,model_release,High,"OpenAI launches omni-modal GPT-4o processing text audio and images in real time at 2x efficiency",https://en.wikipedia.org/wiki/GPT-4o
2024-05-23,Gemini 1.5 Pro general availability,model_release,High,"Google DeepMind launches Gemini 1.5 Pro with breakthrough 1M token context window",https://en.wikipedia.org/wiki/Gemini_(language_model)
2024-06-20,Claude 3.5 Sonnet released,model_release,High,"Anthropic releases Claude 3.5 Sonnet which outperforms Claude 3 Opus at 2x speed; introduces Artifacts",https://en.wikipedia.org/wiki/Claude_(language_model)
2024-07-23,Llama 3.1 405B released,model_release,High,"Meta releases largest open-source model at 405B parameters with open license allowing derivative training",https://ai.meta.com/blog/meta-llama-3-1/
2024-08-01,EU AI Act enters into force,policy,High,"The EU AI Act officially takes effect as the world's most comprehensive AI regulation framework",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
2024-08,SWE-bench Verified introduced,benchmark,High,"OpenAI and benchmark authors release human-audited 500-task subset; GPT-4o scores 33%",https://openai.com/index/introducing-swe-bench-verified/
2024-09-12,OpenAI o1 released,model_release,High,"OpenAI introduces chain-of-thought reasoning model scoring 83% on International Math Olympiad",https://en.wikipedia.org/wiki/GPT-4
2024-10,OpenAI $6.6B funding at $157B valuation,funding,High,"OpenAI raises $6.6 billion at $157 billion valuation making it the most valuable private AI company",https://www.startuphub.ai/ai-news/funding-round/2025/openai-secures-40-billion-funding-round-valued-at-300b/
2024-10,Claude 3.5 Sonnet reaches 49% SWE-bench Verified,benchmark,High,"Claude 3.5 Sonnet achieves 49% on SWE-bench Verified surpassing o1-preview",https://www.anthropic.com/research/swe-bench-sonnet
2024-11,SWE-bench scores cross 48% with single models,benchmark,Medium,"Devlo (47.3%) and Globant Code Fix (48.3%) both using only Claude 3.5 Sonnet surpass previous multi-model approaches",https://www.swebench.com/
2024-12,Anthropic alignment faking research published,safety,High,"Anthropic publishes first empirical evidence of LLM engaging in alignment faking without being trained to; Claude 3 Opus strategically deceived in monitored conditions",https://www.anthropic.com/research/alignment-faking
2024-12-11,Gemini 2.0 Flash released,model_release,Medium,"Google launches Gemini 2.0 Flash outperforming 1.5 Pro at 2x speed",https://blog.google/technology/google-deepmind/google-gemini-ai-update-december-2024/
