date,model_name,organization,key_capability,parameter_count_est,context_window,benchmark_highlights,source_url
2024-03-04,Claude 3 (Opus/Sonnet/Haiku),Anthropic,Vision capabilities and three performance tiers,Unknown,200K tokens,Near-human performance on expert benchmarks; first Claude with vision,https://en.wikipedia.org/wiki/Claude_(language_model)
2024-04-09,GPT-4 Turbo,OpenAI,Extended knowledge cutoff and longer context,Unknown,128K tokens,Knowledge updated to Dec 2023; improved instruction following,https://en.wikipedia.org/wiki/GPT-4
2024-05-13,GPT-4o,OpenAI,Omni-modal: real-time text/audio/image processing,Unknown,128K tokens,SOTA voice/multilingual/vision; 2x efficiency vs GPT-4 Turbo,https://en.wikipedia.org/wiki/GPT-4o
2024-05-23,Gemini 1.5 Pro,Google DeepMind,Breakthrough 1M token context window,Unknown,1M tokens (later 2M),Long-context reasoning; multimodal understanding,https://en.wikipedia.org/wiki/Gemini_(language_model)
2024-06-20,Claude 3.5 Sonnet,Anthropic,Outperformed Claude 3 Opus at 2x speed,Unknown,200K tokens,SOTA on coding benchmarks; Artifacts feature; SWE-bench 49%,https://en.wikipedia.org/wiki/Claude_(language_model)
2024-07-23,Llama 3.1 (8B/70B/405B),Meta,Largest open-source model at 405B parameters,405B,128K tokens,Competitive with closed models; open license allowing output use for training,https://ai.meta.com/blog/meta-llama-3-1/
2024-09-12,o1,OpenAI,Chain-of-thought reasoning model for STEM,Unknown,128K tokens,83% on International Math Olympiad; new reasoning paradigm,https://en.wikipedia.org/wiki/GPT-4
2024-12-11,Gemini 2.0 Flash,Google DeepMind,Fast multimodal model outperforming 1.5 Pro,Unknown,1M tokens,Outperforms 1.5 Pro on key benchmarks at 2x speed,https://blog.google/technology/google-deepmind/google-gemini-ai-update-december-2024/
2024-12-20,o3,OpenAI,Advanced reasoning with configurable analysis depth,Unknown,128K tokens,72% SWE-bench Verified; major reasoning improvements over o1,https://en.wikipedia.org/wiki/GPT-4
2024-12-26,DeepSeek-V3,DeepSeek,Cost-efficient training at $6M; MoE architecture,671B (37B active),128K tokens,Competitive with GPT-4 at fraction of training cost,https://en.wikipedia.org/wiki/DeepSeek
